Ano,Média CO2 Global,Area
1979,336.84,14.997
1980,338.76,14.2
1981,340.12,14.256
1982,341.48,14.479
1983,343.15,14.253
1984,344.87,14.103
1985,346.35,14.045
1986,347.61,14.036
1987,349.31,14.305
1988,351.69,14.826
1989,353.2,14.261
1990,354.45,14.319
1991,355.7,13.634
1992,356.54,14.069
1993,357.21,14.035
1994,358.96,14.095
1995,360.97,14.145
1996,362.74,13.804
1997,363.88,13.657
1998,366.84,14.025
1999,368.54,13.823
2000,369.71,13.442
2001,371.32,13.479
2002,373.45,13.59
2003,375.98,13.647
2004,377.7,13.502
2005,379.98,13.16
2006,382.09,13.16
2007,384.02,13.11
2008,385.83,13.206
2009,387.64,13.189
2010,390.1,13.205
2011,391.85,12.896
2012,394.06,13.353
2013,396.74,12.959
2014,398.81,13.011
2015,401.01,13.073
2016,404.41,12.721
2017,406.76,12.643
2018,408.72,12.484
2019,411.66,12.934
2020,414.24,13.046
2021,416.45,12.711
2022,418.57,13.291
